,"A l: 0, m: -1","P l: 0, m: -1","A l: 0, m: 0","P l: 0, m: 0","A l: 0, m: 1","P l: 0, m: 1","A l: 1, m: -1","P l: 1, m: -1","A l: 1, m: 0","P l: 1, m: 0","A l: 1, m: 1","P l: 1, m: 1","A l: 2, m: -1","P l: 2, m: -1","A l: 2, m: 0","P l: 2, m: 0","A l: 2, m: 1","P l: 2, m: 1","A l: 3, m: -1","P l: 3, m: -1","A l: 3, m: 0","P l: 3, m: 0","A l: 3, m: 1","P l: 3, m: 1",0
0,0.0,,2.0524707265725457e-06,-0.7734611127394445,0.0,,2.679497783935846e-05,1.2313711181493328,2.5097660930697538e-05,-1.469795428328254,2.6794977834800203e-05,1.2313711185538292,3.6119082783685706e-06,3.8885649509494616e-10,2.9615097422862255e-06,0.007726558334064696,3.611908278345482e-06,-0.0,3.5573998808431016e-05,1.5561412717126972,2.9928873077526015e-05,-1.3604101335013956,3.5573998809545156e-05,1.5561412715668639,
1,0.0,,8.814540263132275e-06,-0.5147276728734745,0.0,,0.0001418675707638096,0.7625351319044184,0.0001461105538571452,1.2028642995535588,0.00014186757075764587,0.7625351317992126,1.6855104191947015e-05,2.0807240871238116e-10,1.1977851600588671e-05,0.23669488346465342,1.6855104194357173e-05,-0.0,0.00018756214112585355,1.0968418367590684,0.0001771764980491598,1.3318177966882014,0.0001875621411303766,1.0968418366387997,
2,0.0,,4.167557886491763e-05,-0.563246924544213,0.0,,0.0007182229505021378,0.8517833182912333,0.0007990534247394396,1.2882746605744138,0.0007182229505295778,0.8517833181509518,7.737996791154543e-05,1.4508956207476586e-10,5.781272172108958e-05,0.19671155090252124,7.737996791395984e-05,0.0,0.0009448873206689396,1.1932667894385331,0.0009868279930061157,1.432369077602744,0.0009448873206754173,1.19326678932189,
3,0.0,,0.00025275035464752374,-0.557871526091886,0.0,,0.0030110346399589453,0.8431429224572726,0.003503226646991666,1.2702126944993972,0.0030110346399871857,0.8431429223374957,0.00041389870602455685,1.4688559011727244e-10,0.00035929782687257563,0.22489021082190133,0.0004138987060319356,5.337831389188027e-17,0.003951116643184371,1.1885318182874973,0.0044045966698637,1.4284196792572161,0.003951116643247425,1.1885318181727271,
4,0.0,,0.0017151392703434996,-0.5614156064983066,0.0,,0.009305352802718317,0.8326477912784565,0.011047655514854563,1.248502075916295,0.009305352802936562,0.8326477911546017,0.0024993427347690432,1.0171147989019841e-10,0.002524014686812838,0.23649092300185665,0.0024993427348491866,0.0,0.012194245743257623,1.1796981945883505,0.014142394554390382,1.419436292731502,0.012194245743427097,1.1796981944684437,
5,0.0,,0.007967762615762767,-0.5716032512540915,0.0,,0.019929870542185448,0.8263864965396438,0.023823350461259035,1.230171356846842,0.019929870542367584,0.8263864964295248,0.010937660199120241,1.2126958742392987e-10,0.01193694071113709,0.2383688909790614,0.01093766019917478,-0.0,0.026103798245020023,1.1732303838776241,0.031074692506175023,1.4127347507153531,0.026103798245059005,1.1732303837648161,
6,0.0,,0.018274038878842155,-0.5819553480851681,0.0,,0.028734102742832453,0.8213933220766478,0.03437151637985941,1.2124395178274834,0.02873410274281962,0.821393321969506,0.02430682252527476,1.206230096399131e-10,0.02760871099515416,0.23842334312244676,0.024306822525489956,-0.0,0.03767937938115965,1.166743664991675,0.045766566650317406,1.4061381996417575,0.03767937938129063,1.1667436648855334,
7,0.0,,0.018739799343705357,-0.5909749375040191,0.0,,0.027463831488135058,0.8145914062350117,0.03283447417469441,1.1922355713051551,0.027463831488103368,0.8145914061260527,0.024261894061835553,1.1126735551130669e-10,0.028435864330407228,0.23856743365500477,0.02426189406198101,0.0,0.03615749382160463,1.158700934846948,0.044748318040823194,1.3981691726848142,0.036157493821672965,1.158700934733791,
8,0.0,,0.008191638315771717,-0.5970431194856032,0.0,,0.017199052343089355,0.8070374833498696,0.020616631792950084,1.170952549760032,0.01719905234292367,0.8070374832369561,0.01016695623234157,1.2545594086827955e-10,0.01244324447065389,0.2393650305195438,0.010166956232193576,-0.0,0.022786334881048715,1.1518441337207919,0.02881135321009096,1.3916528824823342,0.02278633488113484,1.151844133604313,
9,0.0,,0.0013654279790508578,-0.5887366933194185,0.0,,0.006926524801566971,0.8178004631760756,0.008408067352828464,1.1681128298772145,0.006926524801565186,0.8178004630624642,0.0014777996134823065,1.327272572077716e-10,0.0020591138622984635,0.2452769430664568,0.0014777996134408575,0.0,0.00924054701355044,1.1651387784422274,0.012051139273210887,1.4058242688734834,0.009240547013496457,1.1651387783269214,
10,0.0,,1.1784192148914297e-05,-1.4914468089723658,0.0,,0.001703720841174922,0.532223773116166,0.0021585595153446728,0.8698150758503659,0.0017037208411729502,0.53222377300913,8.060565693807285e-05,-8.32122745679052e-11,2.2556951223304858e-05,-1.3196790510970269,8.060565692279529e-05,0.0,0.002290038530586103,0.8823604589879416,0.0031699151607939816,1.1257052110776513,0.0022900385305643137,0.8823604588704386,
11,0.0,,3.094925896556782e-05,-0.6295007730069955,0.0,,0.00020546521271079266,0.6279127573431879,0.0003120138017578755,0.9652851447845904,0.00020546521271576696,0.6279127572120974,5.779830312750743e-05,8.695417536939522e-11,4.853053053572285e-05,0.2801708635921226,5.779830313007515e-05,-0.0,0.0002805472697873307,0.9788132946021815,0.00046745070770830315,1.2391902441454588,0.00028054726977806444,0.9788132944673691,
12,0.0,,6.9497657868455135e-06,-0.5696045237688299,0.0,,1.2664495546950926e-05,0.911572664196982,9.162200801330573e-06,0.3770878387124345,1.2664495549751629e-05,0.9115726621017104,9.907056178636557e-06,-8.284894775476558e-12,8.470333798214318e-06,0.28638634888183945,9.907056180068478e-06,-0.0,1.5889171534824105e-05,1.3319911783813718,1.3278903903245693e-05,0.5689676372546262,1.5889171538180097e-05,1.331991178338876,
13,0.0,,4.01724818828728e-06,0.03950159246827342,0.0,,1.0261593329668018e-05,1.3641400309906326,9.707041429156537e-06,-1.437451477003704,1.0261593325808575e-05,1.364140029373637,1.7407883603064468e-06,-5.3617169536813075e-11,1.522563139564333e-06,-0.16748149209086025,1.7407883608778527e-06,-0.0,1.3434916166885175e-05,-1.398405828772284,1.7033403504050347e-05,-1.043079289972458,1.3434916167788048e-05,-1.3984058288448613,
14,0.0,,7.6176665332447065e-06,-1.5103498478883728,0.0,,2.190921381072549e-06,-0.542784444357129,8.347451504844996e-06,-0.3120153192991589,2.19092140084913e-06,-0.5427844421398179,1.1493965488525123e-06,1.0926663476179307e-10,1.8139360891141445e-06,0.003793010251386786,1.1493965489737753e-06,-0.0,2.904360592528853e-06,-0.17879011501065342,1.6477934333820397e-05,0.24751487664372854,2.90436059262391e-06,-0.17879011509824183,
15,0.0,,1.196568120176265e-05,-1.1126488571251416,0.0,,2.633606642925336e-07,-0.10366895865198603,1.1019293129128129e-05,0.1853031567966237,2.633606745036841e-07,-0.10366891467789781,1.1512899654851818e-06,1.2004386425398507e-10,3.4725362535058564e-06,-0.34546140598504144,1.1512899656429658e-06,-0.0,3.498909266176469e-07,0.4127282727831152,2.3373580877065345e-05,0.8253259006653403,3.4989092659438334e-07,0.4127282727293369,
16,0.0,,1.8424504255315582e-05,-0.5903439651758422,0.0,,4.5164122438249056e-08,1.4221177978558115,1.330093170681142e-05,0.6334442206371148,4.516410570754771e-08,1.4221177694880474,1.138949535231284e-06,9.68432793874871e-11,1.006747524515199e-05,0.31232577084742036,1.1389495361201172e-06,2.3043537894179128e-17,1.270666089257046e-08,1.4368493563401417,2.955009736344928e-05,1.3391624729180576,1.2706661276812134e-08,1.436849354202751,
17,0.0,,1.666840292316983e-05,-0.03997496266327242,0.0,,4.166148067289016e-08,1.4547806785777706,1.2588693190923711e-05,1.111475289937157,4.166147293274488e-08,1.4547805136116985,1.1532665225853605e-06,5.192863941769794e-10,7.712817353231504e-06,0.9294404104254222,1.1532665221035573e-06,-0.0,6.830559902629744e-09,1.2164494497810443,2.8793952658491603e-05,-1.2695411436522828,6.830559904703686e-09,1.2164493991057566,
