,"l: 0, m: -1","l: 1, m: -1","l: 2, m: -1","l: 3, m: -1","l: 0, m: 0","l: 1, m: 0","l: 2, m: 0","l: 3, m: 0","l: 0, m: 1","l: 1, m: 1","l: 2, m: 1","l: 3, m: 1"
5.600216192202081,1.365142796097835e-06,6.32620997512941e-08,2.1528548742538348e-06,7.86481774670177e-10,1.365142796097835e-06,6.32620997512941e-08,2.1528548742538348e-06,7.86481774670177e-10,1.365142796097835e-06,6.32620997512941e-08,2.1528548742538348e-06,7.86481774670177e-10
5.7002155661841,1.363966532094217e-06,6.29408031799163e-08,2.141286381029347e-06,6.475006920206982e-10,1.363966532094217e-06,6.29408031799163e-08,2.141286381029347e-06,6.475006920206982e-10,1.363966532094217e-06,6.29408031799163e-08,2.141286381029347e-06,6.475006920206982e-10
5.8002149400904806,1.368971452719657e-06,6.308407307087384e-08,2.120634964524128e-06,4.890535598762765e-10,1.368971452719657e-06,6.308407307087384e-08,2.120634964524128e-06,4.890535598762765e-10,1.368971452719657e-06,6.308407307087384e-08,2.120634964524128e-06,4.890535598762765e-10
5.900214313834597,1.3748430674031508e-06,6.34490497650088e-08,2.0877459689308916e-06,2.3522481648477817e-10,1.3748430674031508e-06,6.34490497650088e-08,2.0877459689308916e-06,2.3522481648477817e-10,1.3748430674031508e-06,6.34490497650088e-08,2.0877459689308916e-06,2.3522481648477817e-10
6.000213687749167,1.3767347105032172e-06,6.461467537189435e-08,2.041763736236814e-06,6.550627030896186e-10,1.3767347105032172e-06,6.461467537189435e-08,2.041763736236814e-06,6.550627030896186e-10,1.3767347105032172e-06,6.461467537189435e-08,2.041763736236814e-06,6.550627030896186e-10
6.100213061611415,1.3710009958736063e-06,6.263554007695787e-08,1.9841780119668876e-06,3.508112829751392e-09,1.3710009958736063e-06,6.263554007695787e-08,1.9841780119668876e-06,3.508112829751392e-09,1.3710009958736063e-06,6.263554007695787e-08,1.9841780119668876e-06,3.508112829751392e-09
6.200212435475516,1.355273418618109e-06,6.983992370193572e-08,1.917729907593191e-06,2.299077721601914e-08,1.355273418618109e-06,6.983992370193572e-08,1.917729907593191e-06,2.299077721601914e-08,1.355273418618109e-06,6.983992370193572e-08,1.917729907593191e-06,2.299077721601914e-08
6.300211809447701,1.323477494118385e-06,1.7463429370540213e-07,1.8389320096832475e-06,1.469092516104344e-07,1.323477494118385e-06,1.7463429370540213e-07,1.8389320096832475e-06,1.469092516104344e-07,1.323477494118385e-06,1.7463429370540213e-07,1.8389320096832475e-06,1.469092516104344e-07
6.4002111833064745,1.3279737380132153e-06,7.274497342976571e-07,1.8207797656386457e-06,9.03188474619696e-07,1.3279737380132153e-06,7.274497342976571e-07,1.8207797656386457e-06,9.03188474619696e-07,1.3279737380132153e-06,7.274497342976571e-07,1.8207797656386457e-06,9.03188474619696e-07
6.500210557155474,1.080513011570444e-06,4.530448900221872e-06,1.440254006432323e-06,5.219385162400567e-06,1.080513011570444e-06,4.530448900221872e-06,1.440254006432323e-06,5.219385162400567e-06,1.080513011570444e-06,4.530448900221872e-06,1.440254006432323e-06,5.219385162400567e-06
6.600209930989588,2.0524707265725457e-06,2.5097660930697538e-05,2.9615097422862255e-06,2.9928873077526015e-05,2.0524707265725457e-06,2.5097660930697538e-05,2.9615097422862255e-06,2.9928873077526015e-05,2.0524707265725457e-06,2.5097660930697538e-05,2.9615097422862255e-06,2.9928873077526015e-05
6.7002093049596025,8.814540263132275e-06,0.0001461105538571452,1.1977851600588671e-05,0.0001771764980491598,8.814540263132275e-06,0.0001461105538571452,1.1977851600588671e-05,0.0001771764980491598,8.814540263132275e-06,0.0001461105538571452,1.1977851600588671e-05,0.0001771764980491598
6.800208678794426,4.167557886491763e-05,0.0007990534247394396,5.781272172108958e-05,0.0009868279930061157,4.167557886491763e-05,0.0007990534247394396,5.781272172108958e-05,0.0009868279930061157,4.167557886491763e-05,0.0007990534247394396,5.781272172108958e-05,0.0009868279930061157
6.900208052644162,0.00025275035464752374,0.003503226646991666,0.00035929782687257563,0.0044045966698637,0.00025275035464752374,0.003503226646991666,0.00035929782687257563,0.0044045966698637,0.00025275035464752374,0.003503226646991666,0.00035929782687257563,0.0044045966698637
7.000207426687168,0.0017151392703434996,0.011047655514854563,0.002524014686812838,0.014142394554390382,0.0017151392703434996,0.011047655514854563,0.002524014686812838,0.014142394554390382,0.0017151392703434996,0.011047655514854563,0.002524014686812838,0.014142394554390382
7.100206800439506,0.007967762615762767,0.023823350461259035,0.01193694071113709,0.031074692506175023,0.007967762615762767,0.023823350461259035,0.01193694071113709,0.031074692506175023,0.007967762615762767,0.023823350461259035,0.01193694071113709,0.031074692506175023
7.200206174363174,0.018274038878842155,0.03437151637985941,0.02760871099515416,0.045766566650317406,0.018274038878842155,0.03437151637985941,0.02760871099515416,0.045766566650317406,0.018274038878842155,0.03437151637985941,0.02760871099515416,0.045766566650317406
7.300205548356843,0.018739799343705357,0.03283447417469441,0.028435864330407228,0.044748318040823194,0.018739799343705357,0.03283447417469441,0.028435864330407228,0.044748318040823194,0.018739799343705357,0.03283447417469441,0.028435864330407228,0.044748318040823194
7.400204922056985,0.008191638315771717,0.020616631792950084,0.01244324447065389,0.02881135321009096,0.008191638315771717,0.020616631792950084,0.01244324447065389,0.02881135321009096,0.008191638315771717,0.020616631792950084,0.01244324447065389,0.02881135321009096
7.500204296106436,0.0013654279790508578,0.008408067352828464,0.0020591138622984635,0.012051139273210887,0.0013654279790508578,0.008408067352828464,0.0020591138622984635,0.012051139273210887,0.0013654279790508578,0.008408067352828464,0.0020591138622984635,0.012051139273210887
7.600203669845275,1.1784192148914297e-05,0.0021585595153446728,2.2556951223304858e-05,0.0031699151607939816,1.1784192148914297e-05,0.0021585595153446728,2.2556951223304858e-05,0.0031699151607939816,1.1784192148914297e-05,0.0021585595153446728,2.2556951223304858e-05,0.0031699151607939816
7.700203043748434,3.094925896556782e-05,0.0003120138017578755,4.853053053572285e-05,0.00046745070770830315,3.094925896556782e-05,0.0003120138017578755,4.853053053572285e-05,0.00046745070770830315,3.094925896556782e-05,0.0003120138017578755,4.853053053572285e-05,0.00046745070770830315
7.800202417668444,6.9497657868455135e-06,9.162200801330573e-06,8.470333798214318e-06,1.3278903903245693e-05,6.9497657868455135e-06,9.162200801330573e-06,8.470333798214318e-06,1.3278903903245693e-05,6.9497657868455135e-06,9.162200801330573e-06,8.470333798214318e-06,1.3278903903245693e-05
7.900201791649224,4.01724818828728e-06,9.707041429156537e-06,1.522563139564333e-06,1.7033403504050347e-05,4.01724818828728e-06,9.707041429156537e-06,1.522563139564333e-06,1.7033403504050347e-05,4.01724818828728e-06,9.707041429156537e-06,1.522563139564333e-06,1.7033403504050347e-05
8.000201165381426,7.6176665332447065e-06,8.347451504844996e-06,1.8139360891141445e-06,1.6477934333820397e-05,7.6176665332447065e-06,8.347451504844996e-06,1.8139360891141445e-06,1.6477934333820397e-05,7.6176665332447065e-06,8.347451504844996e-06,1.8139360891141445e-06,1.6477934333820397e-05
8.100200539310679,1.196568120176265e-05,1.1019293129128129e-05,3.4725362535058564e-06,2.3373580877065345e-05,1.196568120176265e-05,1.1019293129128129e-05,3.4725362535058564e-06,2.3373580877065345e-05,1.196568120176265e-05,1.1019293129128129e-05,3.4725362535058564e-06,2.3373580877065345e-05
8.200199913175041,1.8424504255315582e-05,1.330093170681142e-05,1.006747524515199e-05,2.955009736344928e-05,1.8424504255315582e-05,1.330093170681142e-05,1.006747524515199e-05,2.955009736344928e-05,1.8424504255315582e-05,1.330093170681142e-05,1.006747524515199e-05,2.955009736344928e-05
